TSE COD,TSE MUNICIPIO,IBGE COD,IBGE MUNICIPIO
70874,SÃO JOÃO DO PAU D'ALHO,3549300,São João do Pau dAlho
70890,SÃO JOAQUIM DA BARRA,3549409,São Joaquim da Barra
70912,SÃO JOSÉ DA BELA VISTA,3549508,São José da Bela Vista
70939,SÃO JOSÉ DO BARREIRO,3549607,São José do Barreiro
70955,SÃO JOSÉ DO RIO PARDO,3549706,São José do Rio Pardo
70971,SÃO JOSÉ DO RIO PRETO,3549805,São José do Rio Preto
70998,SÃO JOSÉ DOS CAMPOS,3549904,São José dos Campos
71013,SÃO LUÍS DO PARAITINGA,3550001,São Luiz do Paraitinga
71030,SÃO MANUEL,3550100,São Manuel
71056,SÃO MIGUEL ARCANJO,3550209,São Miguel Arcanjo
71072,SÃO PAULO,3550308,São Paulo
71099,SÃO PEDRO,3550407,São Pedro
71110,SÃO PEDRO DO TURVO,3550506,São Pedro do Turvo
71137,SÃO ROQUE,3550605,São Roque
71153,SÃO SEBASTIÃO,3550704,São Sebastião
71170,SÃO SEBASTIÃO DA GRAMA,3550803,São Sebastião da Grama
71196,SÃO SIMÃO,3550902,São Simão
71218,SÃO VICENTE,3551009,São Vicente
71234,SARAPUÍ,3551108,Sarapuí
71250,SARUTAIÁ,3551207,Sarutaiá
71277,SEBASTIANÓPOLIS DO SUL,3551306,Sebastianópolis do Sul
71293,SERRA AZUL,3551405,Serra Azul
71315,SERRANA,3551504,Serrana
71331,SERRA NEGRA,3551603,Serra Negra
71358,SERTÃOZINHO,3551702,Sertãozinho
71374,SETE BARRAS,3551801,Sete Barras
71390,SEVERÍNIA,3551900,Severínia
71412,SILVEIRAS,3552007,Silveiras
71439,SOCORRO,3552106,Socorro
71455,SOROCABA,3552205,Sorocaba
71471,SUD MENNUCCI,3552304,Sud Mennucci
71498,SUMARÉ,3552403,Sumaré
71510,SUZANO,3552502,Suzano
71536,TABAPUÃ,3552601,Tabapuã
71552,TABATINGA,3552700,Tabatinga
71579,TABOÃO DA SERRA,3552809,Taboão da Serra
71595,TACIBA,3552908,Taciba
71617,TAGUAÍ,3553005,Taguaí
71633,TAIAÇU,3553104,Taiaçu
71650,TAIÚVA,3553203,Taiúva
71676,TAMBAÚ,3553302,Tambaú
71692,TANABI,3553401,Tanabi
71714,TAPIRAÍ,3553500,Tapiraí
71730,TAPIRATIBA,3553609,Tapiratiba
71757,TAQUARITINGA,3553708,Taquaritinga
71773,TAQUARITUBA,3553807,Taquarituba
71790,TARABAI,3553906,Tarabai
71811,TATUÍ,3554003,Tatuí
71838,TAUBATÉ,3554102,Taubaté
71854,TEJUPÁ,3554201,Tejupá
71870,TEODORO SAMPAIO,3554300,Teodoro Sampaio
71897,TERRA ROXA,3554409,Terra Roxa
71919,TIETÊ,3554508,Tietê
71935,TIMBURI,3554607,Timburi
71951,TORRINHA,3554706,Torrinha
71978,TREMEMBÉ,3554805,Tremembé
71994,TRÊS FRONTEIRAS,3554904,Três Fronteiras
72010,TUPÃ,3555000,Tupã
72036,TUPI PAULISTA,3555109,Tupi Paulista
72052,TURIÚBA,3555208,Turiúba
72079,TURMALINA,3555307,Turmalina
72095,UBATUBA,3555406,Ubatuba
72117,UBIRAJARA,3555505,Ubirajara
72133,UCHOA,3555604,Uchoa
72150,UNIÃO PAULISTA,3555703,União Paulista
72176,URÂNIA,3555802,Urânia
72192,URU,3555901,Uru
72214,URUPÊS,3556008,Urupês
72230,VALENTIM GENTIL,3556107,Valentim Gentil
72257,VALINHOS,3556206,Valinhos
72273,VALPARAÍSO,3556305,Valparaíso
72311,VARGEM GRANDE DO SUL,3556404,Vargem Grande do Sul
72338,VÁRZEA PAULISTA,3556503,Várzea Paulista
72354,VERA CRUZ,3556602,Vera Cruz
72370,VINHEDO,3556701,Vinhedo
72397,VIRADOURO,3556800,Viradouro
72419,VISTA ALEGRE DO ALTO,3556909,Vista Alegre do Alto
72435,VOTORANTIM,3557006,Votorantim
72451,VOTUPORANGA,3557105,Votuporanga
72737,VARGEM GRANDE PAULISTA,3556453,Vargem Grande Paulista
