TSE COD,TSE MUNICIPIO,IBGE COD,IBGE MUNICIPIO
62308,GAVIÃO PEIXOTO,3516853,Gavião Peixoto
62316,BIRITIBA MIRIM,3506607,Biritiba Mirim
62324,JUMIRIM,3525854,Jumirim
62332,BOA ESPERANÇA DO SUL,3506706,Boa Esperança do Sul
62340,NANTES,3532157,Nantes
62359,BOCAINA,3506805,Bocaina
62367,NOVA CASTILHO,3532868,Nova Castilho
62375,BOFETE,3506904,Bofete
62383,OUROESTE,3534757,Ouroeste
62391,BOITUVA,3507001,Boituva
62405,PAULISTÂNIA,3536570,Paulistânia
62413,BOM JESUS DOS PERDÕES,3507100,Bom Jesus dos Perdões
62421,RIBEIRÃO DOS ÍNDIOS,3543238,Ribeirão dos Índios
62430,BORÁ,3507209,Borá
62448,TRABIJU,3554755,Trabiju
62456,BORACÉIA,3507308,Boracéia
62472,BORBOREMA,3507407,Borborema
62499,BOTUCATU,3507506,Botucatu
62510,BRAGANÇA PAULISTA,3507605,Bragança Paulista
62553,BRAÚNA,3507704,Braúna
62570,BRODOWSKI,3507803,Brodowski
62596,BROTAS,3507902,Brotas
62618,BURI,3508009,Buri
62634,BURITAMA,3508108,Buritama
62650,BURITIZAL,3508207,Buritizal
62677,CABRÁLIA PAULISTA,3508306,Cabrália Paulista
62693,CABREÚVA,3508405,Cabreúva
62715,CAÇAPAVA,3508504,Caçapava
62731,CACHOEIRA PAULISTA,3508603,Cachoeira Paulista
62758,CACONDE,3508702,Caconde
62774,CAFELÂNDIA,3508801,Cafelândia
62790,CAIABU,3508900,Caiabu
62812,CAIEIRAS,3509007,Caieiras
62839,CAIUÁ,3509106,Caiuá
62855,CAJAMAR,3509205,Cajamar
62871,CAJOBI,3509304,Cajobi
62898,CAJURU,3509403,Cajuru
62910,CAMPINAS,3509502,Campinas
62936,CAMPO LIMPO PAULISTA,3509601,Campo Limpo Paulista
62952,CAMPOS DO JORDÃO,3509700,Campos do Jordão
62979,CAMPOS NOVOS PAULISTA,3509809,Campos Novos Paulista
62995,CANANÉIA,3509908,Cananéia
63010,CÂNDIDO MOTA,3510005,Cândido Mota
63037,CÂNDIDO RODRIGUES,3510104,Cândido Rodrigues
63053,CAPÃO BONITO,3510203,Capão Bonito
63070,CAPELA DO ALTO,3510302,Capela do Alto
63096,CAPIVARI,3510401,Capivari
63118,CARAGUATATUBA,3510500,Caraguatatuba
63134,CARAPICUÍBA,3510609,Carapicuíba
63150,CARDOSO,3510708,Cardoso
63177,CASA BRANCA,3510807,Casa Branca
63193,CÁSSIA DOS COQUEIROS,3510906,Cássia dos Coqueiros
63215,CASTILHO,3511003,Castilho
63231,CATANDUVA,3511102,Catanduva
63258,CATIGUÁ,3511201,Catiguá
63274,CEDRAL,3511300,Cedral
63290,CERQUEIRA CÉSAR,3511409,Cerqueira César
63312,CERQUILHO,3511508,Cerquilho
63339,CESÁRIO LANGE,3511607,Cesário Lange
63355,CHARQUEADA,3511706,Charqueada
63371,CHAVANTES,3557204,Chavantes
63398,CLEMENTINA,3511904,Clementina
63410,COLINA,3512001,Colina
63436,COLÔMBIA,3512100,Colômbia
63452,CONCHAL,3512209,Conchal
63479,CONCHAS,3512308,Conchas
63495,CORDEIRÓPOLIS,3512407,Cordeirópolis
63517,COROADOS,3512506,Coroados
63533,CORONEL MACEDO,3512605,Coronel Macedo
63550,CORUMBATAÍ,3512704,Corumbataí
63576,COSMÓPOLIS,3512803,Cosmópolis
63592,COSMORAMA,3512902,Cosmorama
63614,COTIA,3513009,Cotia
63630,CRAVINHOS,3513108,Cravinhos
63657,CRISTAIS PAULISTA,3513207,Cristais Paulista
